tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
Materiais Recicláveis,São José,Centro,Avenida Sul,s/n,Cooperativa,-8075631,-34891624
Materiais Recicláveis,Dois Unidos,Norte,Av. Chagas Ferreira,601,Cooperativa,-8005045,-34912247
Materiais Recicláveis,Torre,Oeste,Rua Eliezer Olímpio de Moura,100,Cooperativa,-8044426,-3491299
Materiais Recicláveis,São José,Centro,Travessa do Gusmão,178,Cooperativa,-8071821,-34886728
Materiais Recicláveis,Guabiraba,Noroeste,Av. Padre Mosca de Carvalho,s/n,Cooperativa,-7964258,-349246
Materiais Recicláveis,Arruda,Norte,Avenida Professor José dos Anjos,s/n,Cooperativa,-8020267,-34874597
Materiais Recicláveis,São José,Centro,Rua Pacatuba,s/n,Cooperativa,-8076567,-34897539
Materiais Recicláveis,São José,Centro,Rua Oscar de Melo,s/n,Cooperativa,-8077965,-34899157
Materiais Recicláveis,Imbiribeira,Sul,R. Antônio Cardoso da Fonte,483,Cooperativa,-8097676,-34919589
Materiais Recicláveis,Ibura,Sul,Rua Rio Uma,150,Cooperativa,-8114698,-34931643
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Arruda,Norte,Av. Prof. José dos Anjos,,Ecoestação Arruda,-8020158,-34874417
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Campo Grande,Norte,Av. Agamenon Magalhães com Rua Odorico Mendes,,Ecoestação Campo Grande,-8039289,-34878378
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Cohab,Sul,Av. Rio Largo com Avenida Santos,,Ecoestação Cohab,-8115278,-34953455
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Ibura,Sul,Rua Rio Tapado,,Ecoestação Ibura,-8116757,-34943218
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Imbiribeira,Sul,Av. Mascarenhas de Morais,,Ecoestação Imbiribeira,-8123213,-34914702
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Torre,Oeste,Rua Ciclovia República da Argélia,,Ecoestação Torre,-8044172,-34916232
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Torrões,Oeste,Rua Maestro Jones Johnsson,,Ecoestação Torrões,-8057741,-34935627
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Totó,Sudoeste,Rua Onze de Agosto,,Ecoestação Totó,-8077674,-34971714
Materiais Recicláveis,Santo Amaro,Centro,"R. da Aurora, s/n - Santo Amaro, Recife – PE",,PEV,-8054841,-34876912
Materiais Recicláveis,Recife,Centro,"Av. Rio Branco, 261- Recife, PE",,PEV,-8062349,-34873686
Materiais Recicláveis,Recife,Centro,"Av. Alfredo Lisboa, 11 - Bairro do Recife, Recife",,PEV,-8063356,-34871452
Materiais Recicláveis,Santo Antônio,Centro,"Praça da Independência - Santo Antônio, Recife",,PEV,-8064063,-3487838
Materiais Recicláveis,Santo Antônio,Centro,"R. Princesa Isabel, 405 - Santo Amaro, Recife",,PEV,-8058049,-34882241
Materiais Recicláveis,Ilha do Leite,Centro,"Praça Miguel de Cervantes - Ilha do Leite, Recife",,PEV,-8066343,-34893374
Materiais Recicláveis,Boa Vista,Centro,"Av. Lins Petit, 3 - Boa Vista, Recife",,PEV,-8060482,-34894897
Materiais Recicláveis,Recife,Centro,"Cais do Apolo, 905 - Recife, PE",,PEV,-8054718,-34872298
Materiais Recicláveis,Boa Vista,Centro,"Av. da Saudade, 28 - Boa Vista",,PEV,-8050546,-34883392
Materiais Recicláveis,Boa Vista,Centro,"Praça Parque Amorim - Capunga - Boa Vista, Recife",,PEV,-8051907,-34895045
Materiais Recicláveis,Recife,Centro,"Praça do Arsenal da Marinha, 35 Sala 803 – Recife",,PEV,-8061433,-34871067
Materiais Recicláveis,Recife,Centro,"Av. Rio Branco, 155 A – Recife",,PEV,-8062639,-34872884
Materiais Recicláveis,Soledade,Centro,"R. João Fernandes Viêira, 160 - Soledade, Recife",,PEV,-8054543,-3489133
Materiais Recicláveis,Hipódromo,Norte,"R. Carlos Fernandes, 264 - Hipódromo, Recife",,PEV,-8032606,-34886425
Materiais Recicláveis,Santo Amaro,Centro,"Av. Gov. Agamenon Magalhães, 1956 - Santo Amaro, Recife",,PEV,-8039209,-34878273
Materiais Recicláveis,Peixinhos,Norte,"Av. Prof. José dos Anjos, 36 - Peixinhos, Recife",,PEV,-8020321,-34874485
Materiais Recicláveis,Encruzilhada,Norte,"R. Amaro Coutinho, 675 - Encruzilhada, Recife",,PEV,-8032911,-34896082
Materiais Recicláveis,Casa Forte,Noroeste,"Av. Dezessete de Agosto, 1386 - Casa Forte, Recife",,PEV,-8035757,-34920196
Materiais Recicláveis,Monteiro,Noroeste,"Av. Dezessete de Agosto, 2702 - Monteiro, Recife",,PEV,-8027942,-3492823
Materiais Recicláveis,Poço da Panela,Noroeste,"Estr. Real do Poço, 494 - Poço da Panela, Recife",,PEV,-8036449,-34924747
Materiais Recicláveis,Morro da Conceição,Noroeste,"Estrada do Morro da Conceição, 442 - Morro da Conceição, Recife",,PEV,-8019322,-34914722
Materiais Recicláveis,Graças,Noroeste,"Av. Rui Barbosa, 1899 - Graças, Recife",,PEV,-8037776,-34905772
Materiais Recicláveis,Parnamirim,Noroeste,"Av. Dezessete de Agosto, 177 - Parnamirim, Recife",,PEV,-803418,-34911283
Materiais Recicláveis,Jaqueira,Noroeste,"R. do Futuro, 1100 - Jaqueira, Recife",,PEV,-8036243,-34903834
Materiais Recicláveis,Graças,Noroeste,"Rua Senador Alberto Paiva, 71-115 - Graças, Recife - PE, 52050-260 - Graças, Recife",,PEV,-8043843,-34901419
Materiais Recicláveis,Jaqueira,Noroeste,"Rua Hoel Sette, 109 - Jaqueira, Recife",,PEV,-8036238,-34902906
Materiais Recicláveis,Cordeiro,Oeste,"Praça do Arraial Novo do Bom Jesus - Cordeiro - Cordeiro, Recife",,PEV,-8057104,-34930558
